,Ret_time,ticker,pos,neu,neg,ret
178,1/29/21,GME,0,1,0,0.432867892
179,1/29/21,AMC,0,1,0,0.194490899
180,1/29/21,GME,0,1,0,0.432867892
181,1/29/21,NOK,0,1,0,-0.009652451
182,1/29/21,APP,0,1,0,
183,1/29/21,RH,0,1,0,0.025369432
184,1/29/21,GME,0.725,0.275,0,0.432867892
185,1/29/21,NOK,0,1,0,-0.009652451
186,1/29/21,RH,0,1,0,0.025369432
187,1/29/21,RH,0.156,0.739,0.106,0.025369432
188,1/29/21,AMC,0,1,0,0.194490899
189,1/29/21,GME,0,1,0,0.432867892
190,1/29/21,DD,0,1,0,0.029141046
191,1/29/21,NOK,0,1,0,-0.009652451
192,1/29/21,AMC,0,1,0,0.194490899
193,1/29/21,RH,0,1,0,0.025369432
194,1/29/21,TD,0,0.737,0.263,0.003505612
195,1/29/21,RH,0,1,0,0.025369432
196,1/29/21,NOK,0,0.695,0.305,-0.009652451
197,1/29/21,AMC,0,0.695,0.305,0.194490899
198,1/29/21,AMC,0,0.889,0.111,0.194490899
199,1/29/21,RH,0.202,0.798,0,0.025369432
200,1/29/21,GME,0.202,0.798,0,0.432867892
201,1/29/21,AMC,0.202,0.798,0,0.194490899
202,1/29/21,AMC,0.076,0.661,0.263,0.194490899
203,1/29/21,RH,0,1,0,0.025369432
204,1/29/21,NOK,0,1,0,-0.009652451
205,1/29/21,RH,0,0.718,0.282,0.025369432
206,1/29/21,GME,0,0.718,0.282,0.432867892
207,1/29/21,GME,0,0.769,0.231,0.432867892
208,1/29/21,APP,0,1,0,
209,1/29/21,GME,0,1,0,0.432867892
210,1/29/21,RH,0.094,0.906,0,0.025369432
211,1/29/21,BB,0,0.759,0.241,-0.076527983
212,1/29/21,SNDL,0,1,0,-0.131523994
213,1/29/21,AM,0.197,0.56,0.243,-0.016746261
214,1/29/21,AMC,0,1,0,0.194490899
215,1/29/21,GME,0,1,0,0.432867892
216,1/29/21,SNDL,0.647,0.353,0,-0.131523994
217,1/29/21,GME,0,1,0,0.432867892
218,1/29/21,GME,0,1,0,0.432867892
219,1/29/21,GME,0,0.537,0.463,0.432867892
220,1/29/21,AMC,0,0.537,0.463,0.194490899
221,1/29/21,RH,0,0.833,0.167,0.025369432
222,1/29/21,GME,0,0.833,0.167,0.432867892
223,1/29/21,GME,0,1,0,0.432867892
224,1/29/21,AM,0,0.469,0.531,-0.016746261
225,1/29/21,GME,0,0.734,0.266,0.432867892
226,1/29/21,GME,0,0.864,0.136,0.432867892
227,1/29/21,AMC,0,0.864,0.136,0.194490899
228,1/29/21,RH,0,0.208,0.792,0.025369432
229,1/29/21,NOK,0,1,0,-0.009652451
230,1/29/21,RH,0,1,0,0.025369432
231,1/29/21,GME,0,1,0,0.432867892
232,1/29/21,AMC,0,1,0,0.194490899
