Day,PLTR,RKT,ONE,AMC,REAL,SPCE,AMD,DD,GME,TSLA,CRSR,RH,BB,CLOV,NOK,AM,WISH,UWMC,BY,MVIS,NIO,APP,SNDL,AAL,TD
44412,84,0,-100,100,0,0,27,68,44,100,29,-100,0,100,100,0,100,0,100,0,100,-100,0,0,100
44413,0,0,-95,95,0,0,-12,31,47,95,70,-95,0,95,95,0,95,0,95,0,95,-95,0,0,95
44414,0,0,-84,84,0,0,84,6,0,84,0,-84,0,64,84,0,84,0,84,0,84,-84,0,0,84
44415,0,0,-36,36,0,0,36,0,0,36,0,-36,0,-36,36,0,36,0,36,0,36,-36,0,0,36
44416,0,0,-39,39,0,6,39,0,0,39,0,-39,0,37,39,0,39,0,39,0,39,-39,0,0,39
44417,24,0,-64,20,0,64,7,31,8,64,0,-64,0,64,64,-25,64,0,64,0,64,-64,0,0,64
44418,54,0,-54,32,0,54,43,52,0,54,0,-54,0,54,54,-10,54,0,54,0,54,-54,23,0,54
44419,91,0,-91,30,0,91,-65,-27,0,91,0,-91,0,91,91,0,91,0,91,0,91,-91,91,0,91
44420,58,0,-75,0,0,75,-75,36,61,75,0,-75,0,21,75,0,75,0,75,0,75,-75,75,0,75
44421,31,45,-64,0,0,64,-64,-35,64,64,0,-64,0,64,64,0,54,26,64,0,64,-64,64,0,64
44422,0,8,-37,0,0,37,-37,-37,37,37,0,-37,0,37,37,0,37,37,37,0,37,-37,37,0,37
44423,0,0,-21,13,0,21,-21,-20,21,21,0,-21,0,21,21,0,21,-1,21,0,21,-21,21,0,21
44424,0,0,-11,11,0,11,-11,0,11,11,0,-11,0,11,11,0,11,0,11,0,11,-11,11,0,11
