,neg,neu,pos,compound,label
577,0.208,0.792,0,-0.2732,Negative
578,0,1,0,0,Neutral
579,0,1,0,0,Neutral
580,0,1,0,0,Neutral
581,0,0.726,0.274,0.5826,Positive
582,0,1,0,0,Neutral
583,0,0.756,0.244,0.4995,Positive
584,0.139,0.861,0,-0.2732,Negative
585,0.258,0.742,0,-0.4184,Negative
586,0,1,0,0,Neutral
587,0,0.401,0.599,0.4574,Positive
588,0.778,0.222,0,-0.5423,Negative
589,0,1,0,0,Neutral
590,0.065,0.802,0.133,0.3555,Positive
591,0.194,0.806,0,-0.34,Negative
592,0,1,0,0,Neutral
593,0,1,0,0,Neutral
594,0,0,1,0.6124,Positive
595,0.369,0.631,0,-0.792,Negative
596,0,1,0,0,Neutral
597,0,1,0,0,Neutral
598,0,1,0,0,Neutral
599,0,1,0,0,Neutral
600,0.17,0.644,0.187,0.0754,Positive
601,0.134,0.866,0,-0.4767,Negative
602,0.121,0.814,0.065,-0.3326,Negative
603,0,1,0,0,Neutral
604,0,1,0,0,Neutral
605,0,1,0,0,Neutral
606,0,1,0,0,Neutral
607,0.274,0.644,0.082,-0.6696,Negative
608,0,1,0,0,Neutral
609,0,1,0,0,Neutral
610,0,1,0,0,Neutral
611,0,1,0,0,Neutral
612,0,1,0,0,Neutral
613,0,1,0,0,Neutral
614,0,0.575,0.425,0.8126,Positive
615,0.524,0.476,0,-0.296,Negative
616,0,1,0,0,Neutral
617,0,1,0,0,Neutral
618,0,1,0,0,Neutral
619,0.155,0.845,0,-0.3736,Negative
620,0,1,0,0,Neutral
621,0,1,0,0,Neutral
622,0.636,0.364,0,-0.5423,Negative
623,0,1,0,0,Neutral
624,0,1,0,0,Neutral
625,0,1,0,0,Neutral
626,0.545,0.455,0,-0.0516,Negative
627,0.631,0.369,0,-0.7813,Negative
628,0,1,0,0,Neutral
629,0,1,0,0,Neutral
630,0,1,0,0,Neutral
631,0,1,0,0,Neutral
632,0,0.517,0.483,0.4215,Positive
633,0,1,0,0,Neutral
634,0,0.793,0.207,0.34,Positive
635,0,1,0,0,Neutral
636,0,0.275,0.725,0.7405,Positive
637,0,1,0,0,Neutral
638,0,1,0,0,Neutral
639,0,1,0,0,Neutral
640,0,1,0,0,Neutral
641,0,1,0,0,Neutral
642,0,1,0,0,Neutral
643,0.106,0.739,0.156,0.3453,Positive
644,0,1,0,0,Neutral
645,0,1,0,0,Neutral
646,0,0.803,0.197,0.4019,Positive
647,0,1,0,0,Neutral
648,0,1,0,0,Neutral
649,0.163,0.837,0,-0.5423,Negative
650,0.147,0.853,0,-0.2263,Negative
651,0,0.712,0.288,0.836,Positive
652,0.42,0.58,0,-0.7003,Negative
653,0.073,0.927,0,-0.416,Negative
654,0,1,0,0,Neutral
655,0,1,0,0,Neutral
656,0,1,0,0,Neutral
657,0,1,0,0,Neutral
658,0,1,0,0,Neutral
659,0,1,0,0,Neutral
660,0,1,0,0,Neutral
661,0.263,0.737,0,-0.3612,Negative
662,0,1,0,0,Neutral
663,0,1,0,0,Neutral
664,0,0.574,0.426,0.6652,Positive
665,0.188,0.652,0.16,-0.0869,Negative
666,0,1,0,0,Neutral
667,0,1,0,0,Neutral
668,0,1,0,0,Neutral
669,0,1,0,0,Neutral
670,0,1,0,0,Neutral
671,0,1,0,0,Neutral
672,0.305,0.695,0,-0.6908,Negative
673,0,1,0,0,Neutral
674,0,1,0,0,Neutral
675,0.467,0.533,0,-0.5423,Negative
676,0,0.615,0.385,0.3612,Positive
677,0.111,0.889,0,-0.6124,Negative
678,0,1,0,0,Neutral
679,0,0.798,0.202,0.7249,Positive
680,0.393,0.607,0,-0.3802,Negative
681,0.139,0.861,0,-0.3804,Negative
682,0,0.933,0.067,0.25,Positive
683,0,0.815,0.185,0.4738,Positive
684,0,1,0,0,Neutral
685,0.263,0.661,0.076,-0.6885,Negative
686,0.444,0.556,0,-0.34,Negative
687,0,1,0,0,Neutral
688,0,1,0,0,Neutral
689,0,1,0,0,Neutral
690,0,1,0,0,Neutral
691,0.697,0.303,0,-0.3182,Negative
692,0,1,0,0,Neutral
693,0,0.556,0.444,0.6114,Positive
694,0,0.749,0.251,0.886,Positive
695,0,0.465,0.535,0.8481,Positive
696,0,1,0,0,Neutral
697,0.367,0.482,0.151,-0.4828,Negative
698,0.643,0.357,0,-0.6597,Negative
699,0,1,0,0,Neutral
700,0,0.794,0.206,0.0772,Positive
701,0,0.565,0.435,0.8757,Positive
702,0,1,0,0,Neutral
703,0.27,0.73,0,-0.4703,Negative
704,0.074,0.598,0.327,0.8356,Positive
705,0.368,0.632,0,-0.8519,Negative
706,0.37,0.63,0,-0.4466,Negative
707,0,0.701,0.299,0.7284,Positive
708,0,1,0,0,Neutral
709,0,0.747,0.253,0.4663,Positive
710,0,1,0,0,Neutral
711,0,0.417,0.583,0.4215,Positive
712,0.282,0.718,0,-0.2411,Negative
713,0,0.825,0.175,0.5574,Positive
714,0.201,0.693,0.106,-0.383,Negative
715,0.423,0.577,0,-0.296,Negative
716,0.231,0.769,0,-0.4588,Negative
717,0,1,0,0,Neutral
718,0,1,0,0,Neutral
719,0,0.791,0.209,0.7243,Positive
720,0,1,0,0,Neutral
721,0,1,0,0,Neutral
722,0,1,0,0,Neutral
723,0,0.545,0.455,0.3612,Positive
724,0,1,0,0,Neutral
725,0,0.906,0.094,0.4995,Positive
726,0.241,0.759,0,-0.6908,Negative
727,0,1,0,0,Neutral
728,0.241,0.759,0,-0.6239,Negative
729,0,0.345,0.655,0.5859,Positive
730,0,1,0,0,Neutral
731,0,1,0,0,Neutral
732,0.722,0.278,0,-0.3818,Negative
733,0.243,0.56,0.197,-0.1197,Negative
734,0,1,0,0,Neutral
735,0.487,0.513,0,-0.2263,Negative
736,0,1,0,0,Neutral
737,0,0.492,0.508,0.4767,Positive
738,0,0.353,0.647,0.5673,Positive
739,0.586,0.414,0,-0.6428,Negative
740,0,1,0,0,Neutral
741,0,1,0,0,Neutral
